,Year,Predicted,Actual,Error,Country
20,2010,7696461.136842102,7824909,-128447.86315789819,Switzerland
21,2011,7743412.145112768,7912398,-168985.85488723218,Switzerland
22,2012,7790363.153383449,7996861,-206497.84661655128,Switzerland
23,2013,7837314.16165413,8089346,-252031.83834587038,Switzerland
24,2014,7884265.1699248105,8188649,-304383.8300751895,Switzerland
25,2015,7931216.1781954765,8282396,-351179.82180452347,Switzerland
26,2016,7978167.186466157,8373338,-395170.81353384256,Switzerland
27,2017,8025118.194736838,8451840,-426721.80526316166,Switzerland
28,2018,8072069.203007504,8514329,-442259.79699249566,Switzerland
0,1990,53923222.75714278,53921760,1462.7571427822113,Turkey
1,1991,54848614.840601444,54840590,8024.840601444244,Turkey
2,1992,55774006.92406011,55748948,25058.924060106277,Turkey
3,1993,56699399.00751877,56653804,45595.00751876831,Turkey
4,1994,57624791.09097719,57564204,60587.090977191925,Turkey
5,1995,58550183.174435854,58486456,63727.17443585396,Turkey
6,1996,59475575.257894516,59423282,52293.25789451599,Turkey
7,1997,60400967.34135318,60372568,28399.341353178024,Turkey
8,1998,61326359.42481184,61329676,-3316.5751881599426,Turkey
9,1999,62251751.5082705,62287397,-35645.49172949791,Turkey
10,2000,63177143.591729164,63240194,-63050.40827083588,Turkey
11,2001,64102535.675187826,64192243,-89707.32481217384,Turkey
12,2002,65027927.75864649,65145367,-117439.24135351181,Turkey
13,2003,65953319.84210515,66089402,-136082.15789484978,Turkey
14,2004,66878711.92556381,67010930,-132218.07443618774,Turkey
15,2005,67804104.00902247,67903469,-99364.99097752571,Turkey
16,2006,68729496.09248114,68756810,-27313.907518863678,Turkey
17,2007,69654888.1759398,69581848,73040.17593979836,Turkey
18,2008,70580280.25939846,70418604,161676.2593984604,Turkey
19,2009,71505672.34285688,71321399,184273.342856884,Turkey
20,2010,72431064.42631555,72326988,104076.42631554604,Turkey
21,2011,73356456.50977421,73443863,-87406.49022579193,Turkey
22,2012,74281848.59323287,74653016,-371167.4067671299,Turkey
23,2013,75207240.67669153,75928564,-721323.3233084679,Turkey
24,2014,76132632.7601502,77231907,-1099274.2398498058,Turkey
25,2015,77058024.84360886,78529409,-1471384.1563911438,Turkey
26,2016,77983416.92706752,79821724,-1838307.0729324818,Turkey
27,2017,78908809.01052618,81101892,-2193082.9894738197,Turkey
28,2018,79834201.09398484,82319724,-2485522.9060151577,Turkey
0,1990,251089303.88571358,249623000,1466303.8857135773,United States
